"country","averageIqByCountry_iqLynnBecker2019","averageIqByCountry_sourceLynnBecker2019","AverageIQ_ICI2017Grade","AverageIQ_ICI2017Score","OverallPisaScore2022","PISAScoresMathScore2022","PISAScoresScienceScore2022","PISAScoresReadingScore2022"
"Czech Republic",94.92,"T","B+",51.8,1474,487,498,489
"Azerbaijan",84.81,"E","C-",28.6,1142,397,380,365
"Tajikistan",87.71,"T","D+",23.1,,,,
"Greece",90.77,"T","B-",40.1,1309,430,441,438
"Portugal",92.77,"T","B-",44.8,1433,472,484,477
"Hungary",99.24,"T","B",50,1432,473,486,473
"United Arab Emirates",82.05,"T","C+",35.9,1280,431,432,417
"Belarus",101.6,"T",,,,,,
"Israel",92.43,"T","B+",50.1,1397,458,465,474
"Togo",59.83,"E",,,,,,
"Sierra Leone",45.07,"T",,,,,,
"Austria",98.38,"T","A-",58.7,1458,487,491,480
"Switzerland",99.24,"T","A",61.6,1494,508,503,483
"Laos",80.99,"T","D",18.8,,,,
"Hong Kong",105.37,"T","B+",51.2,1560,540,520,500
"Nicaragua",52.69,"T","D+",22.5,,,,
"Serbia",89.6,"T","C+",35.2,1327,440,447,440
"Libya",80.92,"T",,,,,,
"Paraguay",84.04,"E","D+",24.5,1079,338,368,373
"Kyrgyzstan",79.09,"T","C-",27.2,,,,
"Bulgaria",90.99,"T","B-",43.3,1242,417,421,404
"Turkmenistan",85.86,"E",,,,,,
"El Salvador",69.63,"E","D+",21.7,1081,343,373,365
"Republic of the Congo",62.97,"T",,,,,,
"Singapore",105.89,"T","A",63.6,1679,575,561,543
"Denmark",97.83,"T","A",60.3,1472,489,494,489
"Central African Republic",62.55,"E",,,,,,
"Slovakia",96.32,"T","B-",43.6,1373,464,462,447
"Finland",101.2,"T","A",60.5,1485,484,511,490
"Liberia",45.07,"E",,,,,,
"Norway",97.13,"T","B+",55,1423,468,478,477
"Palestine",77.69,"T",,,1084,366,369,349
"New Zealand",98.57,"T","A-",57.3,1484,479,504,501
"Costa Rica",88.34,"T","C",32.4,1211,385,411,415
"Lebanon",81.7,"T","D",19.8,,,,
"Ireland",95.13,"T","B+",53.6,1512,492,504,516
"Mauritania",59.76,"E","D-",11.6,,,,
"Oman",78.7,"T","C-",27.1,,,,
"Panama",79,"E","C-",28.8,1137,357,388,392
"Kuwait",78.64,"T","C-",29.8,,,,
"Croatia",95.75,"T","C+",38.5,1421,463,483,475
"Eritrea",68.77,"T",,,,,,
"Georgia",84.5,"E","C",31.5,1148,390,384,374
"Mongolia",91.03,"T","C-",27.4,1215,425,412,378
"Uruguay",87.59,"E","C+",37.9,1274,409,435,430
"Moldova",89.98,"E","C",31.5,1242,414,417,411
"Puerto Rico",81.99,"T",,,,,,
"Bosnia and Herzegovina",88.54,"T","C-",25.8,,,,
"Gambia",52.68,"T",,,,,,
"Albania",81.75,"E","D+",23.4,1102,368,376,358
"Jamaica",75.08,"T","C-",26.7,1190,377,403,410
"Armenia",88.82,"E","C-",29.6,,,,
"Qatar",80.78,"T","C",31.3,1265,414,432,419
"Botswana",69.45,"T","D+",23.9,,,,
"Lithuania",95.89,"T","B",46.3,1431,475,484,472
"Namibia",66.19,"T","D",18.9,,,,
"Gabon",62.97,"E",,,,,,
"Lesotho",68.87,"E","D",16.1,,,,
"Slovenia",98.6,"T","B+",51.5,1454,485,500,469
"North Macedonia",81.91,"E","C-",28.3,1128,389,380,359
"Latvia",94.79,"T","B",45.8,1452,483,494,475
"Bahrain",83.6,"T","C-",29.6,,,,
"Estonia",100.72,"T","B",49.5,1547,510,526,511
"Mauritius",86.56,"T","C",31.7,,,,
"Cyprus",93.39,"T","C+",38.5,1210,418,411,381
"Eswatini",68.87,"E",,,,,,
"Djibouti",68.41,"E",,,,,,
"Fiji",83.96,"E",,,,,,
"Comoros",77.07,"E",,,,,,
"Guyana",83.23,"E",,,,,,
"Bhutan",87.94,"E",,,,,,
"Solomon Islands",83.96,"E",,,,,,
"Macau",99.82,"E",,,,,,
"Luxembourg",99.87,"E","B+",53.8,,,,
"Suriname",90.29,"E",,,,,,
"Montenegro",85.78,"E","C",34.6,1214,406,403,405
"Cape Verde",52.5,"E",,,,,,
"Malta",91.27,"T","B-",40.8,1377,466,466,445
"Maldives",80.54,"E",,,,,,
"Brunei",87.58,"E",,,1317,442,446,429
"Belize",62.55,"E",,,,,,
"Bahamas",86.99,"T",,,,,,
"Iceland",98.26,"T","B+",52,1342,459,447,436
"Vanuatu",93.92,"E",,,,,,
"New Caledonia",93.92,"E",,,,,,
"Barbados",91.6,"T",,,,,,
"Sao Tome and Principe",65.22,"E",,,,,,
"Samoa",83.96,"E",,,,,,
"Saint Lucia",73.68,"E",,,,,,
"Kiribati",83.96,"E",,,,,,
"Grenada",79.34,"E",,,,,,
"Micronesia",83.96,"E",,,,,,
"Tonga",83.96,"E",,,,,,
"Seychelles",78.76,"T",,,,,,
"Saint Vincent and the Grenadines",63.42,"T",,,,,,
"Antigua and Barbuda",70.48,"E",,,,,,
"Andorra",95.2,"E",,,,,,
"Dominica",66.03,"T",,,,,,
"Cayman Islands",82.24,"E",,,,,,
"Bermuda",93.48,"T",,,,,,
"Greenland",98.89,"T",,,,,,
"Northern Mariana Islands",81.36,"E",,,,,,
"Saint Kitts and Nevis",70.48,"E",,,,,,
"Turks and Caicos Islands",84.29,"E",,,,,,
"Marshall Islands",83.96,"T",,,,,,
"Liechtenstein",101.07,"E",,,,,,
"British Virgin Islands",76.69,"E",,,,,,
"Cook Islands",83.96,"E",,,,,,
"Total",,,,,,438.6875,447.9875,436.1875
